student_external_id,student_class,events,raw_history_tokens,live_memory_tokens,served_fact_tokens,compression_ratio_vs_live_memory,compression_ratio_vs_served_fact,raw_exceeds_input_ceiling,raw_input_cents_per_request,live_memory_input_cents_per_request
bench-student-00039,standard,232,22060,1454,80,15.172,275.75,False,2.206,0.1454
bench-student-00040,standard,229,21863,1537,80,14.224,273.288,False,2.1863,0.1537
bench-student-00041,standard,228,21703,1366,80,15.888,271.288,False,2.1703,0.1366
bench-student-00042,standard,306,28302,1461,80,19.372,353.775,False,2.8302,0.1461
bench-student-00043,standard,200,19381,1279,80,15.153,242.262,False,1.9381,0.1279
bench-student-00044,standard,336,30845,1646,80,18.739,385.562,False,3.0845,0.1646
bench-student-00045,standard,245,23112,1472,80,15.701,288.9,False,2.3112,0.1472
bench-student-00046,standard,199,19238,1638,80,11.745,240.475,False,1.9238,0.1638
bench-student-00047,standard,215,20794,1474,80,14.107,259.925,False,2.0794,0.1474
bench-student-00048,standard,279,26014,1638,80,15.882,325.175,False,2.6014,0.1638
bench-student-00049,standard,297,27705,1634,80,16.955,346.312,False,2.7705,0.1634
bench-student-00050,standard,269,25117,1629,91,15.419,276.011,False,2.5117,0.1629
bench-student-00051,standard,233,22126,1634,80,13.541,276.575,False,2.2126,0.1634
bench-student-00052,standard,274,25671,1636,80,15.691,320.887,False,2.5671,0.1636
bench-student-00053,standard,276,25860,1395,80,18.538,323.25,False,2.586,0.1395
bench-student-00054,standard,175,17318,1193,80,14.516,216.475,False,1.7318,0.1193
bench-student-00055,standard,262,24551,1361,80,18.039,306.887,False,2.4551,0.1361
bench-student-00056,standard,148,14952,1285,91,11.636,164.308,False,1.4952,0.1285
bench-student-00057,standard,274,25535,1548,80,16.495,319.188,False,2.5535,0.1548
bench-student-00058,standard,326,29874,1472,80,20.295,373.425,False,2.9874,0.1472
bench-student-00059,standard,219,20935,1451,80,14.428,261.688,False,2.0935,0.1451
bench-student-00060,standard,217,20790,1270,80,16.37,259.875,False,2.079,0.127
bench-student-00061,standard,279,26037,1634,80,15.935,325.462,False,2.6037,0.1634
bench-student-00062,standard,253,23921,1368,85,17.486,281.424,False,2.3921,0.1368
bench-student-00063,standard,278,26042,1550,80,16.801,325.525,False,2.6042,0.155
bench-student-00064,standard,279,26106,1636,91,15.957,286.879,False,2.6106,0.1636
bench-student-00065,standard,193,18839,1540,85,12.233,221.635,False,1.8839,0.154
bench-student-00066,standard,330,30324,1633,80,18.57,379.05,False,3.0324,0.1633
bench-student-00067,standard,337,30932,1285,80,24.072,386.65,False,3.0932,0.1285
bench-student-00068,standard,223,21214,1538,80,13.793,265.175,False,2.1214,0.1538
bench-student-00069,standard,276,25638,1368,91,18.741,281.736,False,2.5638,0.1368
bench-student-00070,standard,174,17163,1093,80,15.703,214.537,False,1.7163,0.1093
bench-student-00071,standard,210,20189,1542,80,13.093,252.363,False,2.0189,0.1542
bench-student-00072,standard,263,24644,1550,85,15.899,289.929,False,2.4644,0.155
bench-student-00073,standard,163,16321,1457,91,11.202,179.352,False,1.6321,0.1457
bench-student-00074,standard,233,22174,1724,85,12.862,260.871,False,2.2174,0.1724
bench-student-00075,standard,292,27036,1459,80,18.531,337.95,False,2.7036,0.1459
bench-student-00076,standard,194,18873,1631,80,11.571,235.912,False,1.8873,0.1631
bench-student-00077,standard,287,26702,1560,80,17.117,333.775,False,2.6702,0.156
bench-student-00078,standard,232,22076,1380,80,15.997,275.95,False,2.2076,0.138
bench-student-00079,standard,299,27721,1636,80,16.944,346.512,False,2.7721,0.1636
bench-student-00080,standard,229,21814,1456,80,14.982,272.675,False,2.1814,0.1456
bench-student-00081,standard,275,25654,1380,80,18.59,320.675,False,2.5654,0.138
bench-student-00082,standard,218,20835,1459,80,14.28,260.438,False,2.0835,0.1459
bench-student-00083,standard,254,23891,1547,85,15.443,281.071,False,2.3891,0.1547
bench-student-00084,standard,216,20783,1469,80,14.148,259.788,False,2.0783,0.1469
bench-student-00085,standard,333,30536,1459,80,20.929,381.7,False,3.0536,0.1459
bench-student-00086,standard,227,21688,1456,80,14.896,271.1,False,2.1688,0.1456
bench-student-00087,standard,238,22474,1636,91,13.737,246.967,False,2.2474,0.1636
bench-student-00088,standard,240,22750,1555,80,14.63,284.375,False,2.275,0.1555
bench-student-00089,standard,294,27273,1724,80,15.82,340.913,False,2.7273,0.1724
bench-student-00090,standard,196,18981,1371,80,13.845,237.262,False,1.8981,0.1371
bench-student-00091,standard,200,19325,1368,91,14.126,212.363,False,1.9325,0.1368
bench-student-00092,standard,314,29101,1558,91,18.678,319.791,False,2.9101,0.1558
bench-student-00093,standard,249,23552,1297,85,18.159,277.082,False,2.3552,0.1297
bench-student-00094,standard,296,27319,1638,80,16.678,341.488,False,2.7319,0.1638
bench-student-00095,standard,293,27261,1634,91,16.684,299.571,False,2.7261,0.1634
bench-student-00096,standard,177,17488,1199,80,14.585,218.6,False,1.7488,0.1199
bench-student-00097,standard,356,32555,1542,80,21.112,406.938,True,3.2555,0.1542
bench-student-00098,standard,313,28874,1543,80,18.713,360.925,False,2.8874,0.1543
bench-student-00099,standard,218,20843,1629,80,12.795,260.538,False,2.0843,0.1629
bench-student-00100,heavy_tail,4500,367386,1386,96,265.069,3826.938,True,36.7386,0.1386
bench-student-00101,standard,270,25220,1368,80,18.436,315.25,False,2.522,0.1368
bench-student-00102,standard,355,32379,1636,80,19.792,404.738,True,3.2379,0.1636
bench-student-00103,standard,246,23299,1643,80,14.181,291.238,False,2.3299,0.1643
bench-student-00104,standard,291,27095,1547,80,17.515,338.688,False,2.7095,0.1547
bench-student-00105,standard,249,23437,1290,91,18.168,257.549,False,2.3437,0.129
bench-student-00106,standard,259,24258,1373,80,17.668,303.225,False,2.4258,0.1373
bench-student-00107,standard,261,24541,1459,80,16.82,306.762,False,2.4541,0.1459
bench-student-00108,standard,332,30373,1634,80,18.588,379.663,False,3.0373,0.1634
bench-student-00109,standard,253,23859,1550,80,15.393,298.238,False,2.3859,0.155
bench-student-00110,standard,227,21624,1201,85,18.005,254.4,False,2.1624,0.1201
bench-student-00111,standard,278,26039,1543,80,16.876,325.488,False,2.6039,0.1543
bench-student-00112,standard,267,25089,1467,80,17.102,313.613,False,2.5089,0.1467
bench-student-00113,standard,257,24173,1638,80,14.758,302.163,False,2.4173,0.1638
bench-student-00114,standard,197,19014,1456,80,13.059,237.675,False,1.9014,0.1456
bench-student-00115,standard,254,23847,1638,80,14.559,298.087,False,2.3847,0.1638
bench-student-00116,standard,282,26384,1548,91,17.044,289.934,False,2.6384,0.1548
bench-student-00117,standard,177,17420,1282,80,13.588,217.75,False,1.742,0.1282
bench-student-00118,standard,305,28266,1813,80,15.591,353.325,False,2.8266,0.1813
bench-student-00119,standard,302,28038,1633,80,17.17,350.475,False,2.8038,0.1633
bench-student-00120,standard,321,29521,1459,80,20.234,369.012,False,2.9521,0.1459
bench-student-00121,standard,218,20858,1368,80,15.247,260.725,False,2.0858,0.1368
bench-student-00122,standard,157,15783,1474,91,10.708,173.44,False,1.5783,0.1474
bench-student-00123,standard,313,28916,1636,80,17.675,361.45,False,2.8916,0.1636
bench-student-00124,standard,267,24877,1472,80,16.9,310.962,False,2.4877,0.1472
bench-student-00125,standard,309,28621,1543,91,18.549,314.516,False,2.8621,0.1543
bench-student-00126,standard,221,21084,1456,91,14.481,231.692,False,2.1084,0.1456
bench-student-00127,standard,252,23706,1274,80,18.608,296.325,False,2.3706,0.1274
bench-student-00128,standard,276,25856,1634,80,15.824,323.2,False,2.5856,0.1634
bench-student-00129,standard,280,26062,1383,80,18.845,325.775,False,2.6062,0.1383
bench-student-00130,standard,237,22446,1722,80,13.035,280.575,False,2.2446,0.1722
bench-student-00131,standard,291,26922,1725,80,15.607,336.525,False,2.6922,0.1725
bench-student-00132,standard,324,29745,1471,80,20.221,371.812,False,2.9745,0.1471
bench-student-00133,standard,247,23258,1550,91,15.005,255.582,False,2.3258,0.155
bench-student-00134,standard,247,23342,1361,80,17.151,291.775,False,2.3342,0.1361
bench-student-00135,standard,282,26260,1715,80,15.312,328.25,False,2.626,0.1715
bench-student-00136,standard,289,26807,1631,91,16.436,294.582,False,2.6807,0.1631
bench-student-00137,standard,214,20574,1548,80,13.291,257.175,False,2.0574,0.1548
bench-student-00138,standard,252,23689,1370,85,17.291,278.694,False,2.3689,0.137
bench-student-00139,standard,252,23840,1568,80,15.204,298.0,False,2.384,0.1568
bench-student-00140,standard,248,23413,1538,80,15.223,292.663,False,2.3413,0.1538
bench-student-00141,standard,293,27253,1542,80,17.674,340.663,False,2.7253,0.1542
bench-student-00142,standard,208,20020,1275,80,15.702,250.25,False,2.002,0.1275
bench-student-00143,standard,250,23643,1548,80,15.273,295.538,False,2.3643,0.1548
bench-student-00144,standard,297,27448,1550,80,17.708,343.1,False,2.7448,0.155
bench-student-00145,standard,220,21044,1451,80,14.503,263.05,False,2.1044,0.1451
bench-student-00146,standard,277,25974,1649,91,15.751,285.429,False,2.5974,0.1649
bench-student-00147,standard,244,22984,1548,80,14.848,287.3,False,2.2984,0.1548
bench-student-00148,standard,266,24975,1543,80,16.186,312.188,False,2.4975,0.1543
bench-student-00149,standard,273,25495,1378,80,18.501,318.688,False,2.5495,0.1378
bench-student-00150,standard,266,24916,1550,80,16.075,311.45,False,2.4916,0.155
bench-student-00151,standard,319,29400,1631,80,18.026,367.5,False,2.94,0.1631
bench-student-00152,standard,239,22572,1446,80,15.61,282.15,False,2.2572,0.1446
bench-student-00153,standard,245,23197,1459,80,15.899,289.962,False,2.3197,0.1459
bench-student-00154,standard,194,18850,1469,91,12.832,207.143,False,1.885,0.1469
bench-student-00155,standard,310,28589,1547,80,18.48,357.363,False,2.8589,0.1547
bench-student-00156,standard,221,21215,1456,91,14.571,233.132,False,2.1215,0.1456
bench-student-00157,standard,266,24921,1724,91,14.455,273.857,False,2.4921,0.1724
bench-student-00158,standard,246,23220,1644,91,14.124,255.165,False,2.322,0.1644
bench-student-00159,standard,288,26845,1648,80,16.289,335.562,False,2.6845,0.1648
bench-student-00160,standard,206,19781,1280,80,15.454,247.262,False,1.9781,0.128
bench-student-00161,standard,321,29510,1452,91,20.324,324.286,False,2.951,0.1452
bench-student-00162,standard,256,24093,1629,80,14.79,301.163,False,2.4093,0.1629
bench-student-00163,standard,252,23779,1548,80,15.361,297.238,False,2.3779,0.1548
bench-student-00164,standard,320,29523,1555,80,18.986,369.038,False,2.9523,0.1555
bench-student-00165,standard,242,22803,1368,80,16.669,285.038,False,2.2803,0.1368
bench-student-00166,standard,234,22257,1547,80,14.387,278.212,False,2.2257,0.1547
bench-student-00167,standard,253,23845,1550,80,15.384,298.062,False,2.3845,0.155
bench-student-00168,standard,274,25586,1466,80,17.453,319.825,False,2.5586,0.1466
bench-student-00169,standard,266,24763,1638,91,15.118,272.121,False,2.4763,0.1638
bench-student-00170,standard,345,31564,1722,80,18.33,394.55,False,3.1564,0.1722
bench-student-00171,standard,214,20548,1269,80,16.192,256.85,False,2.0548,0.1269
bench-student-00172,standard,274,25731,1636,80,15.728,321.637,False,2.5731,0.1636
bench-student-00173,standard,253,23822,1452,91,16.406,261.78,False,2.3822,0.1452
bench-student-00174,standard,358,32699,1810,80,18.066,408.738,True,3.2699,0.181
bench-student-00175,standard,276,25712,1376,80,18.686,321.4,False,2.5712,0.1376
bench-student-00176,standard,234,22262,1550,91,14.363,244.637,False,2.2262,0.155
bench-student-00177,standard,273,25501,1557,80,16.378,318.762,False,2.5501,0.1557
bench-student-00178,standard,205,19802,1454,80,13.619,247.525,False,1.9802,0.1454
bench-student-00179,standard,250,23449,1285,80,18.248,293.113,False,2.3449,0.1285
bench-student-00180,standard,232,22064,1563,91,14.116,242.462,False,2.2064,0.1563
bench-student-00181,standard,317,29211,1634,80,17.877,365.137,False,2.9211,0.1634
bench-student-00182,standard,218,20913,1547,85,13.518,246.035,False,2.0913,0.1547
bench-student-00183,standard,180,17704,1542,80,11.481,221.3,False,1.7704,0.1542
bench-student-00184,standard,267,25025,1558,91,16.062,275.0,False,2.5025,0.1558
bench-student-00185,standard,135,13920,1449,80,9.607,174.0,False,1.392,0.1449
bench-student-00186,standard,226,21596,1548,80,13.951,269.95,False,2.1596,0.1548
bench-student-00187,standard,270,25362,1555,80,16.31,317.025,False,2.5362,0.1555
bench-student-00188,standard,217,20768,1454,80,14.283,259.6,False,2.0768,0.1454
bench-student-00189,standard,225,21493,1368,80,15.711,268.663,False,2.1493,0.1368
bench-student-00190,standard,361,33102,1810,80,18.288,413.775,True,3.3102,0.181
bench-student-00191,standard,319,29406,1634,80,17.996,367.575,False,2.9406,0.1634
bench-student-00192,standard,286,26527,1454,80,18.244,331.587,False,2.6527,0.1454
bench-student-00193,standard,319,29304,1634,80,17.934,366.3,False,2.9304,0.1634
bench-student-00194,standard,300,27763,1633,91,17.001,305.088,False,2.7763,0.1633
bench-student-00195,standard,249,23484,1454,80,16.151,293.55,False,2.3484,0.1454
bench-student-00196,standard,253,23865,1720,80,13.875,298.312,False,2.3865,0.172
bench-student-00197,heavy_tail,4500,367758,1304,92,282.023,3997.37,True,36.7758,0.1304
bench-student-00198,standard,259,24376,1459,85,16.707,286.776,False,2.4376,0.1459
bench-student-00199,standard,331,30370,1811,80,16.77,379.625,False,3.037,0.1811
bench-student-00200,standard,279,26059,1722,80,15.133,325.738,False,2.6059,0.1722
bench-student-00201,standard,282,26229,1547,80,16.955,327.863,False,2.6229,0.1547
bench-student-00202,standard,237,22486,1542,91,14.582,247.099,False,2.2486,0.1542
bench-student-00203,standard,267,25028,1385,85,18.071,294.447,False,2.5028,0.1385
bench-student-00204,extreme_tail,10645,865413,1295,96,668.273,9014.719,True,86.5413,0.1295
bench-student-00205,standard,199,19322,1548,80,12.482,241.525,False,1.9322,0.1548
bench-student-00206,standard,269,25237,1644,80,15.351,315.462,False,2.5237,0.1644
bench-student-00207,standard,198,19309,1543,91,12.514,212.187,False,1.9309,0.1543
bench-student-00208,standard,167,16686,1361,85,12.26,196.306,False,1.6686,0.1361
bench-student-00209,standard,328,30058,1547,80,19.43,375.725,False,3.0058,0.1547
bench-student-00210,standard,269,25102,1186,80,21.165,313.775,False,2.5102,0.1186
bench-student-00211,standard,183,17884,1194,91,14.978,196.527,False,1.7884,0.1194
bench-student-00212,standard,160,15971,1287,80,12.409,199.637,False,1.5971,0.1287
bench-student-00213,standard,237,22427,1285,80,17.453,280.337,False,2.2427,0.1285
bench-student-00214,standard,236,22457,1366,91,16.44,246.78,False,2.2457,0.1366
bench-student-00215,standard,174,17174,1456,80,11.795,214.675,False,1.7174,0.1456
bench-student-00216,standard,295,27360,1375,80,19.898,342.0,False,2.736,0.1375
bench-student-00217,standard,306,28212,1547,80,18.237,352.65,False,2.8212,0.1547
bench-student-00218,standard,348,31900,1464,80,21.79,398.75,False,3.19,0.1464
bench-student-00219,standard,281,26154,1462,85,17.889,307.694,False,2.6154,0.1462
bench-student-00220,standard,305,28101,1451,80,19.367,351.262,False,2.8101,0.1451
bench-student-00221,standard,317,29124,1461,80,19.934,364.05,False,2.9124,0.1461
bench-student-00222,standard,222,21229,1462,91,14.521,233.286,False,2.1229,0.1462
bench-student-00223,standard,228,21814,1634,91,13.35,239.714,False,2.1814,0.1634
bench-student-00224,standard,240,22684,1638,80,13.849,283.55,False,2.2684,0.1638
bench-student-00225,standard,226,21570,1542,80,13.988,269.625,False,2.157,0.1542
bench-student-00226,standard,329,30234,1633,80,18.514,377.925,False,3.0234,0.1633
bench-student-00227,standard,292,27148,1557,80,17.436,339.35,False,2.7148,0.1557
bench-student-00228,standard,239,22676,1444,80,15.704,283.45,False,2.2676,0.1444
bench-student-00229,standard,249,23444,1631,80,14.374,293.05,False,2.3444,0.1631
bench-student-00230,standard,290,26881,1466,91,18.336,295.396,False,2.6881,0.1466
bench-student-00231,standard,249,23496,1547,80,15.188,293.7,False,2.3496,0.1547
bench-student-00232,standard,243,22944,1451,80,15.813,286.8,False,2.2944,0.1451
bench-student-00233,standard,247,23301,1378,91,16.909,256.055,False,2.3301,0.1378
bench-student-00234,standard,320,29420,1638,80,17.961,367.75,False,2.942,0.1638
bench-student-00235,standard,256,24063,1634,85,14.726,283.094,False,2.4063,0.1634
bench-student-00236,standard,337,31076,1548,80,20.075,388.45,False,3.1076,0.1548
bench-student-00237,standard,195,18937,1449,91,13.069,208.099,False,1.8937,0.1449
bench-student-00238,standard,269,25195,1722,91,14.631,276.868,False,2.5195,0.1722
bench-student-00239,standard,258,24211,1471,91,16.459,266.055,False,2.4211,0.1471
bench-student-00240,standard,225,21432,1545,80,13.872,267.9,False,2.1432,0.1545
bench-student-00241,standard,237,22538,1459,80,15.448,281.725,False,2.2538,0.1459
bench-student-00242,standard,307,28396,1724,80,16.471,354.95,False,2.8396,0.1724
bench-student-00243,standard,279,25941,1547,80,16.769,324.262,False,2.5941,0.1547
bench-student-00244,standard,243,22901,1461,80,15.675,286.262,False,2.2901,0.1461
bench-student-00245,standard,299,27752,1383,85,20.067,326.494,False,2.7752,0.1383
bench-student-00246,standard,286,26460,1366,80,19.37,330.75,False,2.646,0.1366
bench-student-00247,standard,226,21543,1639,80,13.144,269.288,False,2.1543,0.1639
bench-student-00248,standard,218,20857,1633,80,12.772,260.712,False,2.0857,0.1633
bench-student-00249,standard,245,23147,1560,80,14.838,289.337,False,2.3147,0.156
bench-student-00250,standard,283,26373,1724,80,15.298,329.663,False,2.6373,0.1724
bench-student-00251,standard,246,23177,1634,80,14.184,289.712,False,2.3177,0.1634
bench-student-00252,standard,273,25448,1373,80,18.535,318.1,False,2.5448,0.1373
bench-student-00253,standard,308,28447,1722,80,16.52,355.587,False,2.8447,0.1722
bench-student-00254,standard,259,24371,1542,91,15.805,267.813,False,2.4371,0.1542
bench-student-00255,standard,342,31261,1724,80,18.133,390.762,False,3.1261,0.1724
bench-student-00256,standard,288,26769,1535,80,17.439,334.613,False,2.6769,0.1535
bench-student-00257,standard,220,21115,1543,80,13.684,263.938,False,2.1115,0.1543
bench-student-00258,standard,237,22472,1727,80,13.012,280.9,False,2.2472,0.1727
bench-student-00259,standard,184,17944,1188,80,15.104,224.3,False,1.7944,0.1188
bench-student-00260,standard,317,29190,1461,80,19.979,364.875,False,2.919,0.1461
bench-student-00261,standard,248,23299,1371,85,16.994,274.106,False,2.3299,0.1371
bench-student-00262,standard,290,26968,1636,80,16.484,337.1,False,2.6968,0.1636
bench-student-00263,standard,223,21249,1284,80,16.549,265.613,False,2.1249,0.1284
bench-student-00264,standard,251,23675,1727,91,13.709,260.165,False,2.3675,0.1727
bench-student-00265,standard,210,20220,1366,91,14.802,222.198,False,2.022,0.1366
bench-student-00266,standard,240,22829,1816,80,12.571,285.363,False,2.2829,0.1816
bench-student-00267,standard,207,20003,1214,85,16.477,235.329,False,2.0003,0.1214
bench-student-00268,standard,164,16416,1466,80,11.198,205.2,False,1.6416,0.1466
bench-student-00269,standard,238,22474,1267,80,17.738,280.925,False,2.2474,0.1267
bench-student-00270,standard,287,26605,1547,80,17.198,332.562,False,2.6605,0.1547
bench-student-00271,standard,310,28560,1547,80,18.462,357.0,False,2.856,0.1547
bench-student-00272,standard,235,22294,1457,80,15.301,278.675,False,2.2294,0.1457
bench-student-00273,standard,232,22079,1555,80,14.199,275.988,False,2.2079,0.1555
bench-student-00274,standard,203,19632,1275,80,15.398,245.4,False,1.9632,0.1275
bench-student-00275,standard,310,28653,1646,80,17.408,358.163,False,2.8653,0.1646
bench-student-00276,standard,168,16711,1636,80,10.215,208.887,False,1.6711,0.1636
bench-student-00277,standard,253,23822,1467,80,16.239,297.775,False,2.3822,0.1467
bench-student-00278,standard,274,25558,1542,80,16.575,319.475,False,2.5558,0.1542
bench-student-00279,standard,168,16652,1282,85,12.989,195.906,False,1.6652,0.1282
bench-student-00280,standard,270,25287,1629,91,15.523,277.879,False,2.5287,0.1629
bench-student-00281,standard,240,22736,1636,80,13.897,284.2,False,2.2736,0.1636
bench-student-00282,standard,222,21097,1464,80,14.411,263.712,False,2.1097,0.1464
bench-student-00283,standard,329,30112,1548,80,19.452,376.4,False,3.0112,0.1548
bench-student-00284,standard,257,24222,1451,80,16.693,302.775,False,2.4222,0.1451
bench-student-00285,standard,186,18218,1456,80,12.512,227.725,False,1.8218,0.1456
bench-student-00286,standard,307,28287,1634,80,17.312,353.587,False,2.8287,0.1634
bench-student-00287,standard,283,26400,1722,80,15.331,330.0,False,2.64,0.1722
bench-student-00288,standard,255,23940,1550,80,15.445,299.25,False,2.394,0.155
bench-student-00289,standard,270,25229,1373,80,18.375,315.363,False,2.5229,0.1373
bench-student-00290,standard,322,29656,1449,80,20.467,370.7,False,2.9656,0.1449
bench-student-00291,standard,167,16608,1375,80,12.079,207.6,False,1.6608,0.1375
bench-student-00292,standard,251,23639,1634,91,14.467,259.769,False,2.3639,0.1634
bench-student-00293,standard,219,21044,1545,80,13.621,263.05,False,2.1044,0.1545
bench-student-00294,heavy_tail,4500,367104,1381,80,265.825,4588.8,True,36.7104,0.1381
bench-student-00295,standard,184,18040,1295,80,13.931,225.5,False,1.804,0.1295
bench-student-00296,standard,192,18708,1376,91,13.596,205.582,False,1.8708,0.1376
bench-student-00297,standard,227,21627,1633,80,13.244,270.337,False,2.1627,0.1633
bench-student-00298,standard,198,19156,1638,80,11.695,239.45,False,1.9156,0.1638
bench-student-00299,standard,336,30804,1646,80,18.714,385.05,False,3.0804,0.1646
bench-student-00300,standard,224,21304,1280,80,16.644,266.3,False,2.1304,0.128
bench-student-00301,standard,203,19659,1466,91,13.41,216.033,False,1.9659,0.1466
bench-student-00302,standard,209,20037,1459,85,13.733,235.729,False,2.0037,0.1459
bench-student-00303,standard,245,23077,1366,80,16.894,288.462,False,2.3077,0.1366
bench-student-00304,standard,262,24531,1467,80,16.722,306.637,False,2.4531,0.1467
bench-student-00305,standard,243,23034,1375,91,16.752,253.121,False,2.3034,0.1375
bench-student-00306,standard,230,21822,1361,80,16.034,272.775,False,2.1822,0.1361
bench-student-00307,standard,281,26132,1547,91,16.892,287.165,False,2.6132,0.1547
bench-student-00308,standard,148,15087,1371,80,11.004,188.588,False,1.5087,0.1371
bench-student-00309,standard,238,22722,1644,80,13.821,284.025,False,2.2722,0.1644
bench-student-00310,standard,268,25113,1636,91,15.35,275.967,False,2.5113,0.1636
bench-student-00311,standard,315,29071,1462,80,19.884,363.387,False,2.9071,0.1462
bench-student-00312,standard,205,19711,1280,80,15.399,246.387,False,1.9711,0.128
bench-student-00313,standard,286,26656,1547,80,17.231,333.2,False,2.6656,0.1547
bench-student-00314,standard,325,30003,1735,80,17.293,375.038,False,3.0003,0.1735
bench-student-00315,standard,218,20770,1461,91,14.216,228.242,False,2.077,0.1461
bench-student-00316,standard,299,27736,1366,80,20.305,346.7,False,2.7736,0.1366
bench-student-00317,standard,194,18938,1457,80,12.998,236.725,False,1.8938,0.1457
bench-student-00318,standard,164,16331,1100,91,14.846,179.462,False,1.6331,0.11
bench-student-00319,standard,214,20559,1464,80,14.043,256.988,False,2.0559,0.1464
bench-student-00320,standard,250,23621,1385,80,17.055,295.262,False,2.3621,0.1385
bench-student-00321,standard,223,21347,1550,80,13.772,266.837,False,2.1347,0.155
bench-student-00322,standard,194,18829,1366,85,13.784,221.518,False,1.8829,0.1366
bench-student-00323,standard,346,31605,1547,80,20.43,395.062,False,3.1605,0.1547
bench-student-00324,standard,206,19882,1560,91,12.745,218.484,False,1.9882,0.156
bench-student-00325,standard,306,28274,1722,91,16.419,310.703,False,2.8274,0.1722
bench-student-00326,standard,213,20533,1636,80,12.551,256.663,False,2.0533,0.1636
bench-student-00327,standard,271,25451,1631,80,15.605,318.137,False,2.5451,0.1631
bench-student-00328,standard,238,22607,1456,80,15.527,282.587,False,2.2607,0.1456
bench-student-00329,standard,238,22545,1368,80,16.48,281.812,False,2.2545,0.1368
bench-student-00330,standard,155,15604,1285,91,12.143,171.473,False,1.5604,0.1285
bench-student-00331,standard,216,20776,1545,80,13.447,259.7,False,2.0776,0.1545
bench-student-00332,standard,305,28296,1636,80,17.296,353.7,False,2.8296,0.1636
bench-student-00333,standard,296,27554,1722,80,16.001,344.425,False,2.7554,0.1722
bench-student-00334,standard,221,21166,1275,80,16.601,264.575,False,2.1166,0.1275
bench-student-00335,standard,367,33405,1545,91,21.621,367.088,True,3.3405,0.1545
